date,ticker,drt,cost_price,close_price,number
2023-04-07,cf2309,1,14870.0,14902.5,1
2023-04-10,cf2309,1,14850.0,14807.5,1
2023-04-11,cf2309,1,14760.0,14792.5,1
2023-04-11,cf2309,-1,14690.0,14792.5,-1
2023-04-12,cf2309,1,14755.0,14732.5,1
2023-04-12,cf2309,-1,14720.0,14732.5,-1
2023-04-13,cf2309,-1,14755.0,14872.5,-1
2023-04-17,cf2309,1,15150.0,15122.5,1
2023-04-17,cf2309,-1,15087.5,15122.5,-2
2023-04-18,cf2309,1,15155.0,15147.5,1
2023-04-21,cf2309,-1,14825.0,14857.5,-2
2023-04-24,cf2309,1,14900.0,14892.5,1
2023-04-24,cf2309,-1,14865.0,14892.5,-1
2023-04-25,cf2309,-1,15210.0,15217.5,-1
2023-04-26,cf2309,1,15360.0,15322.5,1
2023-04-26,cf2309,-1,15295.0,15322.5,-1
2023-04-27,cf2309,1,15310.0,15222.5,1
2023-04-28,cf2309,1,15420.0,15482.5,1
2023-05-04,cf2309,1,15710.0,15712.5,1
2023-05-04,cf2309,-1,15657.5,15712.5,-2
2023-05-05,cf2309,-1,15830.0,15990.0,-1
2023-05-09,cf2309,1,15805.0,15600.0,1
2023-05-09,cf2309,-1,15575.0,15600.0,-2
2023-05-11,cf2309,1,15695.0,15622.5,2
2023-05-11,cf2309,-1,15615.0,15622.5,-1
2023-05-12,cf2309,1,15485.0,15442.5,2
2023-05-15,cf2309,1,15747.5,15757.5,2
2023-05-15,cf2309,-1,15545.0,15757.5,-2
2023-05-16,cf2309,1,15705.0,15707.5,1
2023-05-16,cf2309,-1,15687.5,15707.5,-2
2023-05-17,cf2309,-1,15705.0,15715.0,-1
2023-05-18,cf2309,1,15825.0,15855.0,1
2023-05-22,cf2309,1,16205.0,16130.0,2
2023-05-23,cf2309,1,16135.0,16142.5,1
2023-05-25,cf2309,1,15542.5,15567.5,2
2023-05-26,cf2309,-1,15390.0,15472.5,-3
2023-05-29,cf2309,-1,15640.0,15642.5,-1
2023-05-30,cf2309,1,15500.0,15502.5,1
2023-05-31,cf2309,1,15510.0,15502.5,1
2023-06-01,cf2309,-1,15561.666666666666,16397.5,-3
2023-06-02,cf2309,1,16305.0,16342.5,1
2023-06-02,cf2309,-1,16397.5,16342.5,-3
2023-06-05,cf2309,-1,16342.5,16762.5,-3
2023-06-06,cf2309,-1,16762.5,16865.0,-3
2023-06-07,cf2309,1,16685.0,16817.5,1
2023-06-07,cf2309,-1,16865.0,16817.5,-3
2023-06-08,cf2309,1,16845.0,16867.5,1
2023-06-08,cf2309,-1,16817.5,16867.5,-3
2023-06-09,cf2309,1,16850.0,16795.0,1
2023-06-09,cf2309,-1,16867.5,16795.0,-3
2023-06-12,cf2309,1,16675.0,16752.5,1
2023-06-12,cf2309,-1,16795.0,16752.5,-3
2023-06-13,cf2309,1,16872.5,16872.5,2
2023-06-13,cf2309,-1,16752.5,16872.5,-3
2023-06-14,cf2309,1,16845.0,16827.5,1
2023-06-14,cf2309,-1,16872.5,16827.5,-3
2023-06-15,cf2309,-1,16827.5,16767.5,-3
2023-06-16,cf2309,1,16925.0,16797.5,1
2023-06-16,cf2309,-1,16767.5,16797.5,-3
2023-06-19,cf2309,1,16466.666666666668,16477.5,3
2023-06-19,cf2309,-1,16797.5,16477.5,-3
2023-06-20,cf2309,-1,16477.5,16697.5,-3
2023-06-21,cf2309,1,16370.0,16352.5,1
2023-06-21,cf2309,-1,16697.5,16352.5,-3
2023-06-26,cf2309,-1,16352.5,16267.5,-3
2023-06-27,cf2309,-1,16267.5,16312.5,-3
2023-06-28,cf2309,1,16335.0,16327.5,1
2023-06-28,cf2309,-1,16312.5,16327.5,-3
2023-06-29,cf2309,1,16303.333333333334,16277.5,3
2023-06-29,cf2309,-1,16327.5,16277.5,-3
2023-06-30,cf2309,1,16670.0,16655.0,3
2023-06-30,cf2309,-1,16277.5,16655.0,-3
2023-07-04,cf2309,1,16530.0,16507.5,1
2023-07-05,cf2309,-1,16545.0,16547.5,-1
2023-07-06,cf2309,-1,16565.0,16577.5,-1
2023-07-07,cf2309,-1,16692.5,16677.5,-2
2023-07-10,cf2309,1,16692.5,16662.5,2
2023-07-11,cf2309,-1,16657.5,17095.0,-2
2023-07-12,cf2309,1,17160.0,17242.5,1
2023-07-12,cf2309,-1,17142.5,17242.5,-2
2023-07-13,cf2309,-1,17195.0,17222.5,-2
2023-07-14,cf2309,-1,17187.5,17127.5,-2
2023-07-17,cf2309,1,17132.5,16907.5,2
2023-07-17,cf2309,-1,16900.0,16907.5,-1
2023-07-18,cf2309,1,17197.5,17177.5,2
2023-07-18,cf2309,-1,17175.0,17177.5,-1
2023-07-19,cf2309,1,16940.0,17157.5,2
2023-07-20,cf2309,-1,17152.5,17140.0,-2
