交易日,,收盘价,,,,,
trade_date,open_int,close,datetime,high,low,open,volume
20220916,244,14542.5,2022/9/16,15760,14515,15757.5,363
20220919,412,14372.5,2022/9/19,14730,14362.5,14507.5,341
20220920,539,14325,2022/9/20,14395,14145,14395,319
20220921,639,14210,2022/9/21,14322.5,14087.5,14260,215
20220922,1637,14372.5,2022/9/22,14410,14147.5,14275,403
20220923,1928,13965,2022/9/23,14365,13935,14362.5,680
20220926,3757,13742.5,2022/9/26,13937.5,13640,13840,1396
20220927,4032,13602.5,2022/9/27,13807.5,13470,13762.5,998
20220928,6496,13402.5,2022/9/28,13717.5,13385,13687.5,1276
20220929,6350,13570,2022/9/29,13632.5,13422.5,13427.5,720
20220930,8521,13580,2022/9/30,13855,13507.5,13560,1523
20221010,8788,13602.5,2022/10/10,13750,13487.5,13742.5,878
20221011,9385,13875,2022/10/11,13987.5,13690,13690,2272
20221012,12100,13972.5,2022/10/12,13980,13825,13917.5,1964
20221013,14469,13642.5,2022/10/13,13977.5,13590,13902.5,2360
20221014,15285,13780,2022/10/14,13887.5,13530,13530,3254
20221017,15907,13732.5,2022/10/17,13765,13657.5,13722.5,2138
20221018,16342,13640,2022/10/18,13767.5,13530,13720,1487
20221019,17151,13567.5,2022/10/19,13662.5,13482.5,13637.5,1939
20221020,20195,13282.5,2022/10/20,13557.5,13202.5,13515,3614
20221021,22884,13292.5,2022/10/21,13372.5,13207.5,13282.5,2183
20221024,26019,13320,2022/10/24,13435,13240,13242.5,5661
20221025,26501,13202.5,2022/10/25,13325,13102.5,13260,2905
20221026,27747,13195,2022/10/26,13332.5,13132.5,13245,4488
20221027,28978,13065,2022/10/27,13230,13037.5,13185,4031
20221028,30221,12880,2022/10/28,13087.5,12802.5,13042.5,6966
20221031,30578,12490,2022/10/31,12842.5,12317.5,12807.5,9277
20221101,32448,12632.5,2022/11/1,12640,12322.5,12435,10555
20221102,34366,12762.5,2022/11/2,12867.5,12617.5,12712.5,13489
20221103,36243,12710,2022/11/3,12782.5,12610,12727.5,12079
20221104,37310,13017.5,2022/11/4,13080,12655,12680,8904
20221107,37921,13065,2022/11/7,13282.5,12957.5,13115,13153
20221108,38730,13050,2022/11/8,13217.5,12965,13077.5,8743
20221109,40897,12955,2022/11/9,13117.5,12822.5,13077.5,9013
20221110,43751,13035,2022/11/10,13097.5,12902.5,12935,13271
20221111,43327,13232.5,2022/11/11,13252.5,12945,12975,12009
20221114,45528,13177.5,2022/11/14,13372.5,13132.5,13247.5,15231
20221115,46010,13255,2022/11/15,13267.5,13067.5,13130,9658
20221116,46603,13340,2022/11/16,13360,13247.5,13287.5,10386
20221117,47826,13382.5,2022/11/17,13402.5,13252.5,13370,8602
20221118,49297,13390,2022/11/18,13417.5,13305,13337.5,9303
20221121,52838,13115,2022/11/21,13407.5,13032.5,13382.5,18062
20221122,52819,13212.5,2022/11/22,13267.5,13037.5,13042.5,11714
20221123,54919,13240,2022/11/23,13285,13185,13235,6340
20221124,56384,13265,2022/11/24,13277.5,13132.5,13190,6783
20221125,57035,13280,2022/11/25,13307.5,13202.5,13260,9071
20221128,60834,13107.5,2022/11/28,13317.5,13032.5,13280,14804
20221129,60795,13240,2022/11/29,13252.5,13082.5,13105,7760
20221130,63461,13190,2022/11/30,13302.5,13157.5,13257.5,9348
20221201,66583,13525,2022/12/1,13532.5,13257.5,13265,21586
20221202,72888,13617.5,2022/12/2,13632.5,13532.5,13537.5,20610
20221205,77715,13632.5,2022/12/5,13697.5,13552.5,13607.5,22608
20221206,84350,13800,2022/12/6,13802.5,13585,13627.5,22944
20221207,89321,13797.5,2022/12/7,13932.5,13712.5,13797.5,37350
20221208,91073,13877.5,2022/12/8,13895,13702.5,13785,19839
20221209,95354,14037.5,2022/12/9,14047.5,13865,13895,47138
20221212,95700,13932.5,2022/12/12,14267.5,13912.5,14040,55160
20221213,99837,14000,2022/12/13,14065,13802.5,13937.5,31457
20221214,100864,14062.5,2022/12/14,14097.5,13945,14032.5,23799
20221215,100628,14155,2022/12/15,14187.5,13987.5,14022.5,30594
20221216,105438,14280,2022/12/16,14447.5,14137.5,14147.5,59616
20221219,105431,13942.5,2022/12/19,14267.5,13847.5,14237.5,64193
20221220,105718,14047.5,2022/12/20,14107.5,13917.5,13967.5,36040
20221221,102203,14235,2022/12/21,14302.5,14022.5,14075,39153
20221222,102139,14055,2022/12/22,14312.5,14002.5,14235,47409
20221223,103320,14067.5,2022/12/23,14102.5,13937.5,14090,39141
20221226,102807,14180,2022/12/26,14237.5,14012.5,14100,35210
20221227,102250,14360,2022/12/27,14412.5,14150,14177.5,44874
20221228,105172,14400,2022/12/28,14437.5,14272.5,14347.5,44087
20221229,106914,14350,2022/12/29,14412.5,14242.5,14372.5,38820
20221230,107630,14435,2022/12/30,14450,14307.5,14352.5,29126
20230103,108336,14537.5,2023/1/3,14572.5,14182.5,14455,51314
20230104,109909,14490,2023/1/4,14547.5,14390,14530,56454
20230105,110650,14457.5,2023/1/5,14525,14357.5,14482.5,46245
20230106,110889,14530,2023/1/6,14537.5,14422.5,14482.5,43083
20230109,113038,14560,2023/1/9,14615,14460,14525,40839
20230110,112233,14590,2023/1/10,14632.5,14542.5,14577.5,31832
20230111,113513,14585,2023/1/11,14627.5,14567.5,14612.5,20610
20230112,115999,14535,2023/1/12,14610,14417.5,14602.5,40203
20230113,115064,14555,2023/1/13,14572.5,14387.5,14557.5,41575
20230116,118328,14460,2023/1/16,14557.5,14427.5,14525,28358
20230117,119086,14515,2023/1/17,14542.5,14412.5,14450,35114
20230118,115314,14840,2023/1/18,14882.5,14532.5,14545,60726
20230119,109910,14917.5,2023/1/19,15032.5,14812.5,14850,43072
20230120,106737,14955,2023/1/20,15032.5,14895,14915,25935
20230130,107227,15012.5,2023/1/30,15227.5,14980,15132.5,32336
20230131,108417,15220,2023/1/31,15307.5,15032.5,15032.5,47300
20230201,110732,15320,2023/2/1,15342.5,15142.5,15200,41913
20230202,111991,15215,2023/2/2,15382.5,15105,15315,65463
20230203,108235,15157.5,2023/2/3,15247.5,15002.5,15215,83617
20230206,112185,15032.5,2023/2/6,15187.5,14812.5,15167.5,82203
20230207,112412,15015,2023/2/7,15127.5,14917.5,15045,53478
20230208,115741,14895,2023/2/8,15022.5,14862.5,15022.5,51229
20230209,118385,14955,2023/2/9,14972.5,14847.5,14912.5,43682
20230210,124687,14622.5,2023/2/10,14997.5,14577.5,14962.5,94481
20230213,130301,14460,2023/2/13,14657.5,14442.5,14635,63554
20230214,143311,14480,2023/2/14,14512.5,14247.5,14502.5,96961
20230215,147062,14505,2023/2/15,14615,14417.5,14472.5,73978
20230216,152806,14515,2023/2/16,14547.5,14412.5,14502.5,64568
20230217,158830,14340,2023/2/17,14497.5,14327.5,14490,57085
20230220,162244,14537.5,2023/2/20,14552.5,14295,14312.5,69599
20230221,168898,14632.5,2023/2/21,14642.5,14522.5,14535,80140
20230222,172850,14635,2023/2/22,14707.5,14567.5,14637.5,88141
20230223,171384,14610,2023/2/23,14677.5,14592.5,14625,63119
20230224,182159,14457.5,2023/2/24,14692.5,14427.5,14647.5,110847
20230227,188519,14477.5,2023/2/27,14537.5,14397.5,14450,83734
20230228,194570,14552.5,2023/2/28,14562.5,14427.5,14462.5,63062
20230301,197156,14637.5,2023/3/1,14657.5,14497.5,14577.5,79498
20230302,200294,14870,2023/3/2,14892.5,14622.5,14652.5,110575
20230303,202091,14897.5,2023/3/3,14927.5,14812.5,14857.5,104012
20230306,209642,14867.5,2023/3/6,14942.5,14772.5,14862.5,108141
20230307,219444,14855,2023/3/7,14917.5,14715,14840,95934
20230308,219614,14840,2023/3/8,14882.5,14757.5,14845,90812
20230309,223707,14675,2023/3/9,14922.5,14662.5,14825,114976
20230310,240477,14537.5,2023/3/10,14777.5,14472.5,14730,191563
20230313,254415,14442.5,2023/3/13,14572.5,14362.5,14527.5,174679
20230314,252290,14420,2023/3/14,14577.5,14287.5,14337.5,133440
20230315,260276,14465,2023/3/15,14542.5,14437.5,14452.5,96258
20230316,277499,14045,2023/3/16,14382.5,14022.5,14357.5,251058
20230317,300420,14112.5,2023/3/17,14172.5,13930,14067.5,178886
20230320,301136,14185,2023/3/20,14417.5,14017.5,14067.5,219937
20230321,311379,14142.5,2023/3/21,14282.5,14082.5,14225,127889
20230322,314207,14185,2023/3/22,14262.5,14122.5,14247.5,130264
20230323,322388,14160,2023/3/23,14242.5,14127.5,14227.5,104238
20230324,330378,14092.5,2023/3/24,14197.5,14027.5,14182.5,138997
