表头注释,开仓时间,平仓时间,开仓价格,平仓价格,多空方向,平仓交易日,合约代码,成交量,收益,手续费,最小报价单位,交易单位
index,open_time,cover_time,open_price,cover_price,ls,cover_date,symbol,volume,rt,fee,tick_size,size
0,2023/4/6 21:00,2023/4/6 21:25,14685,14770,1,20230407,cf2309,1,16.656,0.344,5,5
1,2023/4/6 21:00,2023/4/6 21:25,14695,14775,1,20230407,cf2309,1,15.656,0.344,5,5
2,2023/4/6 21:45,2023/4/6 21:57,14730,14725,-1,20230407,cf2309,1,0.656,0.344,5,5
3,2023/4/6 21:44,2023/4/6 21:57,14710,14725,-1,20230407,cf2309,1,-3.344,0.344,5,5
4,2023/4/6 22:13,2023/4/6 22:28,14760,14770,1,20230407,cf2309,1,1.656,0.344,5,5
5,2023/4/6 22:54,2023/4/6 22:59,14790,14805,1,20230407,cf2309,1,2.656,0.344,5,5
6,2023/4/7 9:00,2023/4/7 9:11,14800,14835,1,20230407,cf2309,1,6.656,0.344,5,5
7,2023/4/7 9:00,2023/4/7 9:12,14815,14845,1,20230407,cf2309,1,5.656,0.344,5,5
8,2023/4/7 9:12,2023/4/7 9:35,14845,14835,1,20230407,cf2309,1,-2.344,0.344,5,5
9,2023/4/7 10:30,2023/4/7 11:00,14870,14890,1,20230407,cf2309,1,3.656,0.344,5,5
10,2023/4/7 13:58,2023/4/7 14:12,14860,14870,-1,20230407,cf2309,1,-2.344,0.344,5,5
11,2023/4/7 13:53,2023/4/7 14:14,14860,14860,-1,20230407,cf2309,1,-0.344,0.344,5,5
12,2023/4/7 14:32,2023/4/7 14:40,14870,14875,1,20230407,cf2309,1,0.656,0.344,5,5
13,2023/4/7 14:32,2023/4/7 14:40,14870,14875,1,20230407,cf2309,1,0.656,0.344,5,5
14,2023/4/7 21:08,2023/4/7 21:13,14865,14855,-1,20230410,cf2309,1,1.656,0.344,5,5
15,2023/4/7 21:16,2023/4/7 21:31,14850,14850,-1,20230410,cf2309,1,-0.344,0.344,5,5
16,2023/4/7 21:47,2023/4/7 22:00,14870,14880,1,20230410,cf2309,1,1.656,0.344,5,5
